date,platform,audience,campaign_id,ad_group_id,ad_group_name,placement_name,creative_id,creative_name,creative_format,clicks,impressions,spend,conversions,ctr,cpc,cpm,roas,canonical_campaign,campaign_name
2024-06-01,Meta,Health Conscious,META_CAMP_085,META_GRP_002,Meta Group 19,Meta Placement 4,CRT_0180,Creative Variant 85,STATIC,0,1,812.33,0,0.0283,28232.38,800000.0,2.41,META_2024,FreshNest Summer Grilling
2024-06-01,Dv360,Tech-Savvy Consumers,DV360_CAMP_094,DV360_GRP_003,Dv360 Group 16,Dv360 Placement 9,CRT_0147,Creative Variant 120,STATIC,0,0,1061.49,0,0.001,1200000.0,1200000.0,2.66,DV360_2024,FreshNest Summer Grilling
2024-06-01,Amazon,Review Readers,AMAZON_CAMP_022,AMAZON_GRP_007,Amazon Group 10,Amazon Placement 33,CRT_0177,Creative Variant 117,HTML5,0,0,1422.59,0,0.0206,91638.78,1800000.0,2.77,AMAZON_2024,FreshNest Summer Grilling
2024-06-01,Meta,Parents 25-45,META_CAMP_044,META_GRP_002,Meta Group 10,Meta Placement 31,CRT_0160,Creative Variant 45,CAROUSEL,0,5,4737.95,0,0.0203,45426.92,800000.0,2.12,META_2024,FreshNest Back to School
2024-06-01,Dv360,Urban Professionals,DV360_CAMP_087,DV360_GRP_006,Dv360 Group 4,Dv360 Placement 26,CRT_0075,Creative Variant 58,VIDEO,0,4,5379.18,0,0.042,25712.35,1200000.0,4.66,DV360_2024,FreshNest Back to School
2024-06-01,Cm360,Trend Setters,CM360_CAMP_064,CM360_GRP_019,Cm360 Group 14,Cm360 Placement 12,CRT_0037,Creative Variant 106,VIDEO,0,7,5168.07,0,0.0154,40936.82,700000.0,2.85,CM360_2024,FreshNest Back to School
2024-06-01,Sa360,Search Users,SA360_CAMP_048,SA360_GRP_001,Sa360 Group 16,Sa360 Placement 1,CRT_0121,Creative Variant 45,STATIC,0,2,4143.4,0,0.001,1500000.0,1500000.0,3.09,SA360_2024,FreshNest Back to School
2024-06-01,Meta,Recipe Seekers,META_CAMP_051,META_GRP_018,Meta Group 7,Meta Placement 38,CRT_0172,Creative Variant 146,VIDEO,0,2,1908.74,0,0.0112,64380.44,800000.0,2.71,META_2024,FreshNest Holiday Recipes
2024-06-01,Amazon,Deal Hunters,AMAZON_CAMP_049,AMAZON_GRP_018,Amazon Group 15,Amazon Placement 41,CRT_0151,Creative Variant 45,CAROUSEL,0,1,1837.44,0,0.0498,41549.95,1800000.0,3.81,AMAZON_2024,FreshNest Holiday Recipes
2024-06-01,Tradedesk,Data-Driven Consumers,TRADEDESK_CAMP_052,TRADEDESK_GRP_003,Tradedesk Group 6,Tradedesk Placement 9,CRT_0167,Creative Variant 141,STATIC,0,1,1090.53,0,0.0422,14216.09,600000.0,1.76,TRADEDESK_2024,FreshNest Holiday Recipes
2024-06-01,Meta,Health Conscious,META_CAMP_091,META_GRP_006,Meta Group 18,Meta Placement 10,CRT_0050,Creative Variant 147,HTML5,0,2,2032.66,0,0.0538,15599.76,800000.0,3.66,META_2024,FreshNest Pantry Staples
2024-06-01,Dv360,High-Income Households,DV360_CAMP_031,DV360_GRP_014,Dv360 Group 10,Dv360 Placement 16,CRT_0091,Creative Variant 69,VIDEO,0,1,2168.17,0,0.049,22026.78,1200000.0,3.21,DV360_2024,FreshNest Pantry Staples
2024-06-01,Cm360,Social Media Active,CM360_CAMP_019,CM360_GRP_011,Cm360 Group 13,Cm360 Placement 1,CRT_0172,Creative Variant 22,CAROUSEL,0,3,2719.0,0,0.041,19617.98,700000.0,2.59,CM360_2024,FreshNest Pantry Staples
2024-06-02,Meta,Home Cooks,META_CAMP_056,META_GRP_001,Meta Group 17,Meta Placement 17,CRT_0050,Creative Variant 195,CAROUSEL,0,2,2097.46,0,0.049,18790.01,800000.0,1.88,META_2024,FreshNest Summer Grilling
2024-06-02,Dv360,Convenience Buyers,DV360_CAMP_088,DV360_GRP_004,Dv360 Group 1,Dv360 Placement 22,CRT_0090,Creative Variant 73,VIDEO,0,2,2540.05,0,0.0467,23109.42,1200000.0,4.0,DV360_2024,FreshNest Summer Grilling
2024-06-02,Amazon,Cross-Category Buyers,AMAZON_CAMP_058,AMAZON_GRP_015,Amazon Group 8,Amazon Placement 44,CRT_0189,Creative Variant 178,VIDEO,0,1,1889.26,0,0.0226,71582.29,1800000.0,4.16,AMAZON_2024,FreshNest Summer Grilling
2024-06-02,Meta,Budget Shoppers,META_CAMP_019,META_GRP_019,Meta Group 12,Meta Placement 28,CRT_0118,Creative Variant 26,STATIC,0,6,5270.97,0,0.0357,22387.33,800000.0,2.54,META_2024,FreshNest Back to School
2024-06-02,Dv360,Convenience Buyers,DV360_CAMP_015,DV360_GRP_010,Dv360 Group 8,Dv360 Placement 22,CRT_0117,Creative Variant 58,HTML5,0,0,991.18,0,0.0011,1200000.0,1200000.0,5.52,DV360_2024,FreshNest Back to School
2024-06-02,Cm360,Influencer Followers,CM360_CAMP_060,CM360_GRP_009,Cm360 Group 14,Cm360 Placement 44,CRT_0019,Creative Variant 185,STATIC,0,5,3989.17,0,0.0459,15259.25,700000.0,3.81,CM360_2024,FreshNest Back to School
2024-06-02,Sa360,Search Users,SA360_CAMP_032,SA360_GRP_015,Sa360 Group 1,Sa360 Placement 40,CRT_0030,Creative Variant 117,VIDEO,0,3,5398.37,0,0.0418,32290.41,1500000.0,2.32,SA360_2024,FreshNest Back to School
2024-06-02,Meta,Family Planners,META_CAMP_049,META_GRP_016,Meta Group 8,Meta Placement 42,CRT_0159,Creative Variant 175,STATIC,0,1,836.85,0,0.0884,9052.47,800000.0,3.26,META_2024,FreshNest Holiday Recipes
2024-06-02,Amazon,One-Click Shoppers,AMAZON_CAMP_080,AMAZON_GRP_011,Amazon Group 4,Amazon Placement 30,CRT_0087,Creative Variant 159,STATIC,0,0,782.81,0,0.0734,24532.03,1800000.0,2.91,AMAZON_2024,FreshNest Holiday Recipes
2024-06-02,Tradedesk,Behavioral Targets,TRADEDESK_CAMP_086,TRADEDESK_GRP_011,Tradedesk Group 14,Tradedesk Placement 30,CRT_0178,Creative Variant 95,VIDEO,0,0,385.78,0,0.0344,15719.39,600000.0,3.46,TRADEDESK_2024,FreshNest Holiday Recipes
2024-06-02,Meta,Busy Professionals,META_CAMP_057,META_GRP_010,Meta Group 16,Meta Placement 44,CRT_0179,Creative Variant 32,HTML5,0,1,1556.67,0,0.0487,17254.22,800000.0,2.57,META_2024,FreshNest Pantry Staples
2024-06-02,Dv360,High-Income Households,DV360_CAMP_025,DV360_GRP_016,Dv360 Group 16,Dv360 Placement 41,CRT_0047,Creative Variant 168,STATIC,0,1,1595.26,0,0.0429,27998.76,1200000.0,4.02,DV360_2024,FreshNest Pantry Staples
2024-06-02,Cm360,Content Consumers,CM360_CAMP_072,CM360_GRP_013,Cm360 Group 4,Cm360 Placement 29,CRT_0051,Creative Variant 163,CAROUSEL,0,5,3728.49,0,0.0621,12964.47,700000.0,2.56,CM360_2024,FreshNest Pantry Staples
2024-06-03,Meta,Budget Shoppers,META_CAMP_087,META_GRP_014,Meta Group 7,Meta Placement 31,CRT_0089,Creative Variant 84,HTML5,0,3,2487.91,0,0.0212,39653.79,800000.0,2.16,META_2024,FreshNest Summer Grilling
2024-06-03,Dv360,Quality Seekers,DV360_CAMP_071,DV360_GRP_010,Dv360 Group 10,Dv360 Placement 30,CRT_0088,Creative Variant 180,STATIC,0,1,2155.21,0,0.0496,24189.12,1200000.0,2.05,DV360_2024,FreshNest Summer Grilling
2024-06-03,Amazon,Prime Members,AMAZON_CAMP_030,AMAZON_GRP_011,Amazon Group 8,Amazon Placement 37,CRT_0188,Creative Variant 6,CAROUSEL,0,1,1962.68,0,0.0474,43648.03,1800000.0,3.35,AMAZON_2024,FreshNest Summer Grilling
2024-06-03,Meta,Recipe Seekers,META_CAMP_072,META_GRP_008,Meta Group 20,Meta Placement 37,CRT_0035,Creative Variant 184,VIDEO,0,4,3726.58,0,0.0513,14041.16,800000.0,4.86,META_2024,FreshNest Back to School
2024-06-03,Dv360,Quality Seekers,DV360_CAMP_056,DV360_GRP_012,Dv360 Group 8,Dv360 Placement 9,CRT_0184,Creative Variant 181,CAROUSEL,0,1,2351.98,0,0.043,32099.09,1200000.0,2.52,DV360_2024,FreshNest Back to School
2024-06-03,Cm360,Content Consumers,CM360_CAMP_062,CM360_GRP_002,Cm360 Group 10,Cm360 Placement 38,CRT_0154,Creative Variant 105,HTML5,0,4,3274.06,0,0.0483,15209.16,700000.0,4.25,CM360_2024,FreshNest Back to School
2024-06-03,Sa360,Search Users,SA360_CAMP_090,SA360_GRP_014,Sa360 Group 11,Sa360 Placement 48,CRT_0074,Creative Variant 137,STATIC,0,2,3673.3,0,0.0324,46229.52,1500000.0,4.61,SA360_2024,FreshNest Back to School
2024-06-03,Meta,Family Planners,META_CAMP_010,META_GRP_013,Meta Group 17,Meta Placement 3,CRT_0160,Creative Variant 183,HTML5,0,1,1125.56,0,0.0477,17598.09,800000.0,1.97,META_2024,FreshNest Holiday Recipes
2024-06-03,Amazon,Frequent Shoppers,AMAZON_CAMP_094,AMAZON_GRP_005,Amazon Group 9,Amazon Placement 16,CRT_0069,Creative Variant 23,HTML5,0,0,0,0,0.0267,1.8,0,0.92,AMAZON_2024,FreshNest Holiday Recipes
2024-06-03,Tradedesk,Lookalike Segments,TRADEDESK_CAMP_014,TRADEDESK_GRP_001,Tradedesk Group 13,Tradedesk Placement 14,CRT_0174,Creative Variant 21,VIDEO,0,1,631.16,0,0.0314,17201.15,600000.0,3.39,TRADEDESK_2024,FreshNest Holiday Recipes
2024-06-03,Meta,Family Planners,META_CAMP_080,META_GRP_018,Meta Group 14,Meta Placement 27,CRT_0158,Creative Variant 105,STATIC,0,3,2425.25,0,0.0337,23721.43,800000.0,3.48,META_2024,FreshNest Pantry Staples
2024-06-03,Dv360,Urban Professionals,DV360_CAMP_029,DV360_GRP_013,Dv360 Group 20,Dv360 Placement 22,CRT_0025,Creative Variant 20,HTML5,0,0,1042.88,0,0.0272,46341.21,1200000.0,4.11,DV360_2024,FreshNest Pantry Staples
2024-06-03,Cm360,Social Media Active,CM360_CAMP_041,CM360_GRP_018,Cm360 Group 17,Cm360 Placement 9,CRT_0083,Creative Variant 51,CAROUSEL,0,2,1860.8,0,0.067,12016.36,700000.0,2.25,CM360_2024,FreshNest Pantry Staples
2024-06-04,Meta,Health Conscious,META_CAMP_090,META_GRP_003,Meta Group 20,Meta Placement 26,CRT_0035,Creative Variant 34,HTML5,0,2,2201.2,0,0.065,12920.29,800000.0,3.78,META_2024,FreshNest Summer Grilling
2024-06-04,Dv360,Tech-Savvy Consumers,DV360_CAMP_014,DV360_GRP_015,Dv360 Group 15,Dv360 Placement 4,CRT_0114,Creative Variant 153,CAROUSEL,0,2,2705.67,0,0.0469,29435.82,1200000.0,2.55,DV360_2024,FreshNest Summer Grilling
2024-06-04,Amazon,One-Click Shoppers,AMAZON_CAMP_088,AMAZON_GRP_005,Amazon Group 6,Amazon Placement 48,CRT_0196,Creative Variant 124,STATIC,0,1,2042.91,0,0.0373,48239.28,1800000.0,2.75,AMAZON_2024,FreshNest Summer Grilling
2024-06-04,Meta,Budget Shoppers,META_CAMP_042,META_GRP_009,Meta Group 11,Meta Placement 44,CRT_0155,Creative Variant 70,CAROUSEL,0,5,4218.18,0,0.0504,18260.4,800000.0,3.73,META_2024,FreshNest Back to School
2024-06-04,Dv360,Convenience Buyers,DV360_CAMP_085,DV360_GRP_020,Dv360 Group 16,Dv360 Placement 42,CRT_0106,Creative Variant 190,CAROUSEL,0,1,1204.1,0,0.0286,48314.46,1200000.0,1.04,DV360_2024,FreshNest Back to School
2024-06-04,Cm360,Influencer Followers,CM360_CAMP_048,CM360_GRP_007,Cm360 Group 20,Cm360 Placement 34,CRT_0143,Creative Variant 123,CAROUSEL,0,5,3539.11,0,0.0581,13866.38,700000.0,1.78,CM360_2024,FreshNest Back to School
2024-06-04,Sa360,Search Users,SA360_CAMP_026,SA360_GRP_009,Sa360 Group 1,Sa360 Placement 36,CRT_0152,Creative Variant 116,VIDEO,0,1,1797.99,0,0.0029,467335.13,1500000.0,4.88,SA360_2024,FreshNest Back to School
2024-06-04,Meta,Family Planners,META_CAMP_045,META_GRP_007,Meta Group 1,Meta Placement 19,CRT_0012,Creative Variant 161,HTML5,0,1,1111.28,0,0.0391,21497.6,800000.0,2.29,META_2024,FreshNest Holiday Recipes
2024-06-04,Amazon,Frequent Shoppers,AMAZON_CAMP_041,AMAZON_GRP_010,Amazon Group 1,Amazon Placement 41,CRT_0006,Creative Variant 50,VIDEO,0,0,307.89,0,0.0164,98631.99,1800000.0,4.06,AMAZON_2024,FreshNest Holiday Recipes
2024-06-04,Tradedesk,Programmatic Buyers,TRADEDESK_CAMP_046,TRADEDESK_GRP_010,Tradedesk Group 5,Tradedesk Placement 44,CRT_0013,Creative Variant 23,STATIC,0,0,0,0,0.0755,0.6,0,1.15,TRADEDESK_2024,FreshNest Holiday Recipes
2024-06-04,Meta,Budget Shoppers,META_CAMP_027,META_GRP_017,Meta Group 4,Meta Placement 38,CRT_0137,Creative Variant 199,HTML5,0,1,1199.87,0,0.0227,36995.91,800000.0,3.78,META_2024,FreshNest Pantry Staples
2024-06-04,Dv360,High-Income Households,DV360_CAMP_098,DV360_GRP_009,Dv360 Group 17,Dv360 Placement 36,CRT_0013,Creative Variant 112,CAROUSEL,0,3,3908.69,0,0.0703,19635.83,1200000.0,2.01,DV360_2024,FreshNest Pantry Staples
2024-06-04,Cm360,Engagement Seekers,CM360_CAMP_065,CM360_GRP_008,Cm360 Group 19,Cm360 Placement 35,CRT_0008,Creative Variant 70,HTML5,0,0,305.09,0,0.0436,16844.26,700000.0,2.38,CM360_2024,FreshNest Pantry Staples
2024-06-05,Meta,Budget Shoppers,META_CAMP_071,META_GRP_004,Meta Group 18,Meta Placement 31,CRT_0087,Creative Variant 182,CAROUSEL,0,2,1741.62,0,0.0405,22727.53,800000.0,2.97,META_2024,FreshNest Summer Grilling
